value,stem
transfer,transfer
market,market
processing,process
common,common
total,total
relating,relat
territory,territori
years,year
total,total
community,commun
originating,origin
certificate,certif
united,unit
price,price
longitude,longitud
including,includ
synthetic,synthet
proposal,propos
products,product
articles,articl
growth,growth
increased,increas
products,product
signature,signatur
thereof,thereof
measures,measur
view,view
fro,fro
annex,annex
inland,inland
commercial,commerci
machines,machin
force,forc
programmes,programm
real,real
funds,fund
solar,solar
decision,decis
external,extern
article,articl
stage,stage
construction,construct
financial,financi
sets,set
concerning,concern
agreement,agreement
community,commun
members,member
exports,export
surface,surfac
fund,fund
regulation,regul
projects,project
economic,econom
financial,financi
Portugal,Portug
road,road
jobs,job
ol,ol
article,articl
executive,execut
term,term
action,action
form,form
article,articl
fixed,fix
measures,measur
negotiations,negoti
decision,decis
table,tabl
concerned,concern
general,gener
software,softwar
article,articl
products,product
alcoholic,alcohol
description,descript
treaty,treati
ii,ii
customs,custom
social,social
exceeding,exceed
loading,load
conclusion,conclus
amount,amount
european,european
community,commun
contributions,contribut
council,council
participation,particip
noise,nois
account,account
justice,justic
groups,group
regulation,regul
legal,legal
officials,offici
ua,ua
amount,amount
cereals,cereal
meeting,meet
total,total
press,press
investment,invest
scientific,scientif
es,e
commission,commiss
weight,weight
processing,process
reflecting,reflect
heading,head
fresh,fresh
COST,COST
form,form
submitted,submit
industrial,industri
demand,demand
entirety,entireti
accession,access
levels,level
dried,dri
apply,appli
organization,organ
item,item
commission,commiss
june,june
shares,share
facility,facil
rules,rule
general,gener
security,secur
operation,oper
operation,oper
decision,decis
crocheted,crochet
gas,ga
indicative,indic
falling,fall
guarantees,guarante
paid,paid
cereals,cereal
paragraph,paragraph
total,total
parts,part
commission,commiss
public,public
will,will
exemption,exempt
fron,fron
advance,advanc
government,govern
system,system
list,list
para,para
council,council
market,market
distribution,distribut
constituted,constitut
council,council
premiums,premium
limits,limit
concerning,concern
scrap,scrap
litres,litr
annex,annex
magnesium,magnesium
determined,determin
importation,import
admission,admiss
communities,commun
difficulties,difficulti
permissible,permiss
article,articl
Morocco,Morocco
article,articl
acceptance,accept
convention,convent
industry,industri
studies,studi
device,devic
provided,provid
referred,refer
financial,financi
provided,provid
treaty,treati
agreement,agreement
content,content
net,net
equipment,equip
machinery,machineri
nr,nr
commercial,commerci
commission,commiss
operation,oper
conditions,condit
increased,increas
tariff,tariff
authorities,author
international,intern
paid,paid
member,member
construction,construct
commission,commiss
article,articl
production,product
ii,ii
conditions,condit
er,er
poultry,poultri
quality,qualiti
butteroil,butteroil
market,market
family,famili
tenderer,tender
will,will
exportation,export
standards,standard
motor,motor
harvested,harvest
amount,amount
regulations,regul
port,port
fund,fund
land,land
decision,decis
convention,convent
field,field
work,work
rates,rate
gloves,glove
works,work
iron,iron
market,market
united,unit
projects,project
article,articl
jobs,job
government,govern
sources,sourc
united,unit
treaty,treati
regions,region
north,north
security,secur
european,european
real,real
article,articl
euratom,euratom
technical,technic
commission,commiss
system,system
council,council
network,network
olive,oliv
applications,applic
states,state
importation,import
loan,loan
nederland,nederland
slaughter,slaughter
government,govern
power,power
relations,relat
refunds,refund
south,south
articles,articl
garments,garment
paragraph,paragraph
strength,strength
heading,head
applicant,applic
total,total
standards,standard
officer,offic
community,commun
subject,subject
made,made
fron,fron
programme,programm
rail,rail
convention,convent
electric,electr
form,form
member,member
increase,increas
tonnes,tonn
investment,invest
gloves,glove
note,note
outer,outer
ad,ad
lot,lot
VAT,VAT
number,number
pollution,pollut
states,state
fish,fish
regulations,regul
milk,milk
strip,strip
programmes,programm
eec,eec
development,develop
paragraph,paragraph
grants,grant
marketing,market
traffic,traffic
unemployment,unemploy
st,st
customs,custom
agreement,agreement
work,work
pollution,pollut
type,type
utilization,util
producers,produc
account,account
vis,vi
company,compani
year,year
territory,territori
council,council
management,manag
provisions,provis
fixed,fix
produced,produc
iron,iron
radioactive,radioact
weight,weight
excluding,exclud
year,year
weight,weight
supply,suppli
force,forc
originating,origin
concept,concept
provisions,provis
increase,increas
objectives,object
industrial,industri
conditions,condit
reimbursement,reimburs
State,State
aid,aid
regulations,regul
illegal,illeg
regulations,regul
minimum,minimum
level,level
oils,oil
member,member
State,State
Bonaire,Bonair
rate,rate
officials,offici
tha,tha
area,area
provisions,provis
amended,amend
brazilian,brazilian
falling,fall
prepared,prepar
depths,depth
based,base
december,decemb
financial,financi
years,year
enter,enter
great,great
standards,standard
heads,head
fro,fro
certifying,certifi
test,test
british,british
reproductive,reproduct
law,law
atomic,atom
social,social
submitted,submit
State,State
article,articl
international,intern
granted,grant
animal,anim
supplies,suppli
articles,articl
exceeding,exceed
risk,risk
survey,survei
skimmed,skim
consolidated,consolid
shipbuilding,shipbuild
bars,bar
national,nation
inflation,inflat
honour,honour
states,state
ito,ito
commission,commiss
treaty,treati
computer,comput
yarn,yarn
ting,ting
community,commun
common,common
agreements,agreement
countries,countri
guide,guid
community,commun
quotas,quota
june,june
capital,capit
regulation,regul
andere,ander
autonomous,autonom
countries,countri
practice,practic
assets,asset
currency,currenc
case,case
committee,committe
international,intern
imports,import
imports,import
united,unit
friendship,friendship
de,de
temperature,temperatur
mechanical,mechan
rules,rule
barley,barlei
submitted,submit
respect,respect
meeting,meet
will,will
states,state
duty,duti
transactions,transact
rate,rate
produoto,produoto
buyer,buyer
agreements,agreement
energy,energi
carried,carri
consumption,consumpt
industry,industri
authority,author
ratification,ratif
type,type
common,common
decision,decis
ceilings,ceil
imports,import
british,british
remuneration,remuner
form,form
oi,oi
conditions,condit
aid,aid
cereals,cereal
systems,system
education,educ
security,secur
measures,measur
community,commun
measures,measur
item,item
agreement,agreement
payment,payment
services,servic
loading,load
growth,growth
total,total
companies,compani
financial,financi
national,nation
safety,safeti
republic,republ
heading,head
undertaking,undertak
article,articl
products,product
facilities,facil
cultural,cultur
board,board
part-time,part-tim
force,forc
prices,price
arrangement,arrang
economic,econom
premium,premium
measures,measur
residence,resid
results,result
public,public
products,product
states,state
cooperation,cooper
community,commun
community,commun
level,level
year,year
products,product
investment,invest
member,member
document,document
balance,balanc
Belgium,Belgium
number,number
parties,parti
tests,test
world,world
prices,price
division,divis
yarn,yarn
articles,articl
information,inform
grapes,grape
prepared,prepar
industry,industri
imports,import
quality,qualiti
goods,good
kind,kind
commission,commiss
commission's,commission'
part,part
agency,agenc
service,servic
countries,countri
rate,rate
will,will
regions,region
Ecu,Ecu
skimmed,skim
year,year
uppers,upper
hellenic,hellen
man,man
valorem,valorem
medical,medic
provided,provid
Italy,Itali
notes,note
amending,amend
west,west
article,articl
world,world
high,high
operations,oper
article,articl
bank,bank
force,forc
assistance,assist
laying,lai
provisions,provis
effects,effect
en,en
products,product
phase,phase
long,long
states,state
contained,contain
rate,rate
measures,measur
based,base
measures,measur
AIDS,AIDS
footnotes,footnot
social,social
work,work
design,design
committee,committe
leaf,leaf
beverages,beverag
free,free
capacity,capac
frozen,frozen
territories,territori
measures,measur
dry,dry
products,product
respect,respect
ceilings,ceil
force,forc
exporting,export
investment,invest
problems,problem
schemes,scheme
approval,approv
financial,financi
laws,law
prospecting,prospect
waterway,waterwai
rights,right
salary,salari
falling,fall
basis,basi
seeds,seed
work,work
prance,pranc
territory,territori
sector,sector
travel,travel
ot,ot
farmers,farmer
plant,plant
amount,amount
beam,beam
processing,process
andere,ander
applicant,applic
provide,provid
november,novemb
agreements,agreement
increased,increas
community,commun
rate,rate
substances,substanc
ii,ii
valuo,valuo
director,director
device,devic
metric,metric
annex,annex
group,group
physical,physic
proposed,propos
decision,decis
common,common
solar,solar
community,commun
EAGGF,EAGGF
hair,hair
investment,invest
protocol,protocol
electrical,electr
business,busi
land,land
distribution,distribut
account,account
countries,countri
leather,leather
european,european
payments,payment
article,articl
State,State
tine,tine
minimum,minimum
France,Franc
software,softwar
status,statu
mission,mission
leaf,leaf
contract,contract
sale,sale
levied,levi
industry,industri
cut,cut
annex,annex
brussels,brussel
decision,decis
produced,produc
cct,cct
states,state
imports,import
temporary,temporari
companies,compani
payments,payment
sector,sector
directives,direct
aircraft,aircraft
Turkey,Turkei
amount,amount
annex,annex
states,state
cottage,cottag
activities,activ
approval,approv
council,council
content,content
AIDS,AIDS
application,applic
adopted,adopt
admission,admiss
reagents,reagent
subheading,subhead
support,support
glass,glass
fro,fro
terms,term
government,govern
annex,annex
eec,eec
imports,import
certificate,certif
rules,rule
paragraph,paragraph
purchased,purchas
establishing,establish
beneficiary,beneficiari
amount,amount
customs,custom
company,compani
countries,countri
textile,textil
il,il
prices,price
account,account
quantities,quantiti
survey,survei
national,nation
metric,metric
supplies,suppli
free,free
air,air
test,test
indicative,indic
revenue,revenu
rates,rate
supply,suppli
balance,balanc
economic,econom
distribution,distribut
projects,project
order,order
scientific,scientif
account,account
animal,anim
accounts,account
years,year
product,product
period,period
people,peopl
number,number
employers,employ
council,council
fuels,fuel
beef,beef
thereof,thereof
total,total
quotas,quota
paragraph,paragraph
technology,technologi
community,commun
period,period
article,articl
convention,convent
payments,payment
eua,eua
common,common
national,nation
amount,amount
operations,oper
act,act
imported,import
loss,loss
report,report
fever,fever
communities,commun
noise,nois
states,state
sugar,sugar
stock,stock
weight,weight
cotton,cotton
measures,measur
wine-growing,wine-grow
customs,custom
economic,econom
level,level
environmental,environment
tariff,tariff
wood,wood
greek,greek
community,commun
thin,thin
provided,provid
infrastructure,infrastructur
community,commun
andere,ander
unchanged,unchang
persons,person
member,member
cereals,cereal
production,product
lists,list
accession,access
elastic,elast
rates,rate
hydrocarbons,hydrocarbon
amount,amount
transport,transport
jurisdiction,jurisdict
annex,annex
point,point
allowances,allow
price,price
properties,properti
AIDS,AIDS
entered,enter
lome,lome
rules,rule
project,project
milk,milk
tariffs,tariff
week,week
er,er
question,question
committee,committe
science,scienc
council,council
exceed,exce
payment,payment
regulation,regul
report,report
duties,duti
capital,capit
form,form
residence,resid
common,common
computer,comput
dumping,dump
Ecu,Ecu
referred,refer
plates,plate
reactor,reactor
excluding,exclud
republic,republ
interest,interest
eec,eec
port,port
procedures,procedur
customs,custom
portuguese,portugues
products,product
years,year
market,market
persons,person
inspection,inspect
respect,respect
communities,commun
reagent,reagent
vessels,vessel
carried,carri
insurance,insur
annex,annex
product,product
colza,colza
representative,repres
number,number
will,will
growth,growth
covers,cover
ion,ion
income,incom
committee,committe
minimum,minimum
devices,devic
man,man
citrus,citru
laying,lai
type,type
applications,applic
export,export
total,total
establishing,establish
protective,protect
air,air
feet,feet
produoto,produoto
conventions,convent
plane,plane
mining,mine
basic,basic
court,court
enrichment,enrich
council,council
communication,commun
article,articl
participant,particip
seals,seal
investment,invest
fine,fine
sources,sourc
ceiling,ceil
electric,electr
terms,term
farming,farm
developing,develop
year,year
resources,resourc
chapter,chapter
working,work
member,member
exchange,exchang
article,articl
economio,economio
issued,issu
common,common
states,state
origin,origin
munity,muniti
raw,raw
place,place
japanese,japanes
account,account
chilled,chill
system,system
authorities,author
january,januari
proposed,propos
paragraph,paragraph
ii,ii
unwrought,unwrought
granted,grant
exportation,export
stock,stock
accounting,account
limited,limit
weight,weight
conference,confer
countries,countri
allocated,alloc
application,applic
member,member
states,state
establishment,establish
landing,land
apply,appli
levy,levi
december,decemb
procedure,procedur
regard,regard
official,offici
labelling,label
fresh,fresh
person,person
materials,materi
exceed,exce
guarantees,guarante
will,will
paragraph,paragraph
temperature,temperatur
demand,demand
cottage,cottag
competent,compet
parties,parti
farming,farm
economic,econom
conditions,condit
originating,origin
amount,amount
AIDS,AIDS
july,juli
eur,eur
li,li
competent,compet
milk,milk
distribution,distribut
industrial,industri
programme,programm
commission,commiss
gas,ga
imported,import
substances,substanc
rear,rear
material,materi
total,total
states,state
products,product
account,account
average,averag
french,french
negotiations,negoti
common,common
high,high
nederland,nederland
outer,outer
shares,share
year,year
taxable,taxabl
including,includ
groups,group
revenue,revenu
job,job
present,present
council,council
code,code
establishing,establish
agriculture,agricultur
ices,ic
self-employed,self-emploi
technical,technic
level,level
question,question
reactors,reactor
bank,bank
total,total
transfers,transfer
present,present
carried,carri
producers,produc
industrial,industri
june,june
referred,refer
bank,bank
danmark,danmark
inspection,inspect
form,form
standard,standard
community's,community'
veal,veal
scientific,scientif
status,statu
rubberised,rubberis
laid,laid
eec,eec
tariff,tariff
total,total
exports,export
radiation,radiat
seal,seal
glass,glass
ceilings,ceil
years,year
thi,thi
work,work
passengers,passeng
trade,trade
example,exampl
negotiations,negoti
priority,prioriti
period,period
will,will
natural,natur
fabric,fabric
government,govern
country,countri
taxation,taxat
supply,suppli
payment,payment
thermal,thermal
areas,area
ii,ii
annex,annex
court,court
states,state
Ecu,Ecu
agricultural,agricultur
european,european
EDF,EDF
establishing,establish
interest,interest
products,product
procedure,procedur
job,job
la,la
period,period
programme,programm
technical,technic
animals,anim
circuit,circuit
entered,enter
proposed,propos
major,major
period,period
interest,interest
asbestos,asbesto
family,famili
developing,develop
report,report
consultations,consult
common,common
transport,transport
materials,materi
disposal,dispos
fresh,fresh
Yugoslavia,Yugoslavia
balance,balanc
headings,head
referred,refer
view,view
generalized,gener
countries,countri
conditions,condit
budgetary,budgetari
national,nation
living,live
meter,meter
applications,applic
proceedings,proceed
de,de
infrastructure,infrastructur
regulations,regul
remuneration,remuner
customs,custom
production,product
rates,rate
party,parti
table,tabl
teachers,teacher
average,averag
equipment,equip
cn,cn
community,commun
health,health
zealand,zealand
headlights,headlight
products,product
bb,bb
sea,sea
ensure,ensur
financial,financi
measures,measur
price,price
rules,rule
element,element
natural,natur
levies,levi
ho,ho
international,intern
rear,rear
fuel,fuel
decision,decis
capital,capit
facilities,facil
articles,articl
march,march
awarded,award
acting,act
formalities,formal
european,european
leather,leather
capacity,capac
supervision,supervis
example,exampl
payment,payment
machinery,machineri
emergency,emerg
company,compani
conservation,conserv
coated,coat
methods,method
deficit,deficit
cooperation,cooper
persons,person
ba,ba
invitation,invit
application,applic
sector,sector
headings,head
current,current
quality,qualiti
conditions,condit
concerned,concern
article,articl
standards,standard
fresh,fresh
will,will
december,decemb
position,posit
origin,origin
democratic,democrat
imported,import
currencies,currenc
national,nation
shares,share
regulation,regul
difficult,difficult
limits,limit
protection,protect
protocol,protocol
period,period
extension,extens
countries,countri
seal,seal
analysis,analysi
machine,machin
paragraph,paragraph
processed,process
applications,applic
apply,appli
set,set
export,export
animal,anim
acid,acid
taxes,tax
duty,duti
german,german
third,third
countries,countri
development,develop
device,devic
sector,sector
seal,seal
business,busi
exchange,exchang
number,number
july,juli
amount,amount
maximum,maximum
common,common
products,product
zone,zone
agreement,agreement
tr,tr
imports,import
varieties,varieti
delivery,deliveri
work,work
vocational,vocat
provided,provid
countries,countri
importation,import
lead,lead
device,devic
marketing,market
entered,enter
period,period
food,food
public,public
industrial,industri
agreements,agreement
export,export
specific,specif
fusion,fusion
currencies,currenc
hair,hair
law,law
measures,measur
application,applic
kingdom,kingdom
persons,person
supplies,suppli
young,young
accession,access
fuel,fuel
rate,rate
account,account
u.a,u.a
waters,water
scheme,scheme
studies,studi
balance,balanc
common,common
agency,agenc
financial,financi
Ecu,Ecu
overseas,oversea
make,make
computer,comput
community,commun
commission,commiss
amended,amend
procedure,procedur
companies,compani
federal,feder
annex,annex
trade,trade
control,control
position,posit
amounts,amount
geographical,geograph
obtained,obtain
category,categori
conditions,condit
market,market
excluding,exclud
gdp,gdp
average,averag
council,council
issuing,issu
paperboard,paperboard
trade,trade
considers,consid
account,account
acting,act
vehicle,vehicl
states,state
weighing,weigh
government,govern
women,women
price,price
assistance,assist
fuels,fuel
eec,eec
commission,commiss
wool,wool
approach,approach
acquisition,acquisit
persons,person
France,Franc
navigation,navig
accession,access
area,area
communities,commun
products,product
furnace,furnac
industry,industri
total,total
states,state
referred,refer
programmes,programm
accession,access
formalities,formal
wage,wage
ion,ion
economic,econom
performance,perform
will,will
commission,commiss
capacity,capac
measures,measur
will,will
case,case
tariff,tariff
general,gener
oxides,oxid
persons,person
resources,resourc
pilot,pilot
third,third
milk,milk
strength,strength
tools,tool
plant,plant
community,commun
member,member
situation,situat
matter,matter
quantity,quantiti
recommendation,recommend
maximum,maximum
annexed,annex
referred,refer
aid,aid
proposals,propos
worker,worker
type,type
premiums,premium
statute,statut
european,european
undertakings,undertak
persons,person
pensions,pension
free,free
threshold,threshold
wheat,wheat
request,request
national,nation
hotel,hotel
total,total
office,offic
io,io
economic,econom
member,member
intervention,intervent
soluble,solubl
goods,good
dried,dri
well,well
concerned,concern
eec,eec
special,special
level,level
economic,econom
fiscal,fiscal
sulphur,sulphur
poultrymeat,poultrymeat
producto,producto
cacao,cacao
manufacturer,manufactur
article,articl
fodder,fodder
representatives,repres
treaty,treati
amendment,amend
relating,relat
wheat,wheat
development,develop
number,number
construction,construct
heading,head
industry,industri
mechanical,mechan
glass,glass
respect,respect
sheep,sheep
international,intern
loss,loss
will,will
cold,cold
group,group
exchange,exchang
consideration,consider
supplies,suppli
boon,boon
cereals,cereal
period,period
member,member
assembly,assembli
parti,parti
target,target
provided,provid
consumers,consum
goods,good
product,product
calves,calv
subject,subject
february,februari
loan,loan
contracts,contract
countries,countri
third,third
weight,weight
annex,annex
units,unit
board,board
general,gener
articles,articl
environment,environ
accession,access
draw,draw
secretary,secretari
relations,relat
body,bodi
reactors,reactor
vaccine,vaccin
conditions,condit
exceeding,exceed
november,novemb
time,time
proposals,propos
market,market
water,water
oils,oil
water,water
description,descript
insurance,insur
number,number
tariff,tariff
acting,act
approval,approv
years,year
certifies,certifi
country,countri
party,parti
sheep,sheep
force,forc
european,european
customs,custom
products,product
undertaking,undertak
civil,civil
authorities,author
es,e
authorities,author
amount,amount
developing,develop
studies,studi
conditions,condit
fixed,fix
industry,industri
State,State
pollutants,pollut
manufacturer,manufactur
annex,annex
projects,project
infrastructure,infrastructur
referred,refer
payments,payment
farms,farm
sale,sale
industrial,industri
proposals,propos
objective,object
Belgium,Belgium
fine,fine
council,council
restructuring,restructur
prices,price
lists,list
group,group
contracts,contract
conditions,condit
pollution,pollut
crude,crude
frozen,frozen
force,forc
area,area
herring,her
worker,worker
study,studi
demand,demand
quotas,quota
member,member
programmes,programm
regulation,regul
preferences,prefer
financial,financi
analysis,analysi
fixing,fix
department,depart
Greece,Greec
number,number
savings,save
figures,figur
herds,herd
annexed,annex
steels,steel
field,field
powder,powder
parallel,parallel
fibres,fibr
fabric,fabric
rules,rule
origin,origin
including,includ
agriculture,agricultur
years,year
technical,technic
industry,industri
motor,motor
respect,respect
additional,addit
tne,tne
paragraph,paragraph
transit,transit
member,member
air,air
communities,commun
aid,aid
average,averag
convention,convent
consumption,consumpt
flax,flax
honour,honour
category,categori
market,market
awarded,award
resources,resourc
projects,project
international,intern
ECSC,ECSC
Norway,Norwai
service,servic
butter,butter
methods,method
services,servic
commitments,commit
aid,aid
amended,amend
year,year
rules,rule
international,intern
employees,employe
ia,ia
ensure,ensur
COST,COST
services,servic
quality,qualiti
vehicles,vehicl
supplementary,supplementari
community,commun
concerned,concern
statement,statement
jobs,job
compounds,compound
implementing,implement
cooperation,cooper
work,work
meat,meat
market,market
regulation,regul
heading,head
plants,plant
exceeding,exceed
waste,wast
european,european
